ANO;LOCALIDAD_MADRE;EDAD_MADRE;SEXO;REGIMEN_SEGURIDAD;total
2009;Bogotá;14;FEMENINO;NO ASEGURADO;43
2009;Bogotá;14;FEMENINO;SIN INFORMACION;1
2009;Bogotá;14;FEMENINO;SUBSIDIADO;89
2009;Bogotá;14;MASCULINO;CONTRIBUTIVO;111
2009;Bogotá;14;MASCULINO;EXCEPCION;3
2009;Bogotá;14;MASCULINO;NO ASEGURADO;51
2009;Bogotá;14;MASCULINO;SIN INFORMACION;2
2009;Bogotá;14;MASCULINO;SUBSIDIADO;90
2009;Bogotá;15;FEMENINO;CONTRIBUTIVO;273
2009;Bogotá;15;FEMENINO;ESPECIAL;1
2009;Bogotá;15;FEMENINO;EXCEPCION;7
